A NM_A
IPRED NM_IPRED
A_0 NM_A_0
PRED NM_PRED
IRES NM_IRES
IWRES NM_IWRES
Y NM_Y
IR NM_IR
DA NM_DA
DP NM_DP
DT NM_DT
XSCALE NM_XSCALE
F NM_F
K NM_K
F1 NM_F1
F2 NM_F2
F3 NM_F3
F4 NM_F4
F5 NM_F5
F6 NM_F6
F7 NM_F7
F8 NM_F8
F9 NM_F9
F10 NM_F10
F11 NM_F11
F12 NM_F12
F13 NM_F13
F14 NM_F14
F15 NM_F15
F16 NM_F16
F17 NM_F17
F18 NM_F18
F19 NM_F19
F20 NM_F20
F21 NM_F21
ALAG1 NM_ALAG1
ALAG10 NM_ALAG10
ALAG11 NM_ALAG11
ALAG12 NM_ALAG12
ALAG13 NM_ALAG13
ALAG14 NM_ALAG14
ALAG15 NM_ALAG15
ALAG16 NM_ALAG16
ALAG17 NM_ALAG17
ALAG18 NM_ALAG18
ALAG19 NM_ALAG19
ALAG2 NM_ALAG2
ALAG20 NM_ALAG20
ALAG3 NM_ALAG3
ALAG4 NM_ALAG4
ALAG5 NM_ALAG5
ALAG6 NM_ALAG6
ALAG7 NM_ALAG7
ALAG8 NM_ALAG8
ALAG9 NM_ALAG9
D1 NM_D1
D10 NM_D10
D11 NM_D11
D12 NM_D12
D13 NM_D13
D14 NM_D14
D15 NM_D15
D16 NM_D16
D17 NM_D17
D18 NM_D18
D19 NM_D19
D2 NM_D2
D20 NM_D20
D3 NM_D3
D4 NM_D4
D5 NM_D5
D6 NM_D6
D7 NM_D7
D8 NM_D8
D9 NM_D9
ETA1 NM_ETA1
ETA10 NM_ETA10
ETA11 NM_ETA11
ETA12 NM_ETA12
ETA13 NM_ETA13
ETA14 NM_ETA14
ETA15 NM_ETA15
ETA16 NM_ETA16
ETA17 NM_ETA17
ETA18 NM_ETA18
ETA19 NM_ETA19
ETA2 NM_ETA2
ETA20 NM_ETA20
ETA3 NM_ETA3
ETA4 NM_ETA4
ETA5 NM_ETA5
ETA6 NM_ETA6
ETA7 NM_ETA7
ETA8 NM_ETA8
ETA9 NM_ETA9
R1 NM_R1
R10 NM_R10
R11 NM_R11
R12 NM_R12
R13 NM_R13
R14 NM_R14
R15 NM_R15
R16 NM_R16
R17 NM_R17
R18 NM_R18
R19 NM_R19
R2 NM_R2
R20 NM_R20
R3 NM_R3
R4 NM_R4
R5 NM_R5
R6 NM_R6
R7 NM_R7
R8 NM_R8
R9 NM_R9
S1 NM_S1
S10 NM_S10
S11 NM_S11
S12 NM_S12
S13 NM_S13
S14 NM_S14
S15 NM_S15
S16 NM_S16
S17 NM_S17
S18 NM_S18
S19 NM_S19
S2 NM_S2
S20 NM_S20
S3 NM_S3
S4 NM_S4
S5 NM_S5
S6 NM_S6
S7 NM_S7
S8 NM_S8
S9 NM_S9
